Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Amir Coffey,SG,23,LAC,44,1,394,4.1,9.4,2.5,3.5,2.1,5.1,2.0,4.3,0.9,3.1,4.0,2.0,0.9,0.0,1.4,2.7,12.8
John Collins,PF,23,ATL,63,63,1848,8.4,15.0,3.3,4.0,1.6,4.1,6.7,11.0,2.3,6.8,9.1,1.5,0.7,1.2,1.6,3.8,21.6
Mike Conley,PG,33,UTA,51,51,1498,6.8,15.4,2.9,3.4,3.3,8.1,3.5,7.3,0.9,3.4,4.3,7.3,1.7,0.2,2.4,2.4,19.9
Pat Connaughton,SG,28,MIL,69,4,1575,3.8,8.8,0.7,0.9,2.3,6.2,1.5,2.6,1.4,6.1,7.6,1.9,1.1,0.5,0.8,2.3,10.7
Quinn Cook,PG,27,TOT,23,0,157,6.6,15.6,1.6,1.8,2.5,6.0,4.1,9.6,0.5,3.4,3.9,4.1,0.9,0.2,1.6,2.3,17.4
Quinn Cook,PG,27,LAL,16,0,62,7.0,15.1,2.3,2.9,2.9,7.5,4.1,7.5,0.0,2.9,2.9,2.9,0.6,0.6,1.7,1.2,19.2
Quinn Cook,PG,27,CLE,7,0,95,6.4,15.9,1.1,1.1,2.3,4.9,4.2,11.0,0.8,3.8,4.5,4.9,1.1,0.0,1.5,3.0,16.3
Tyler Cook,SF-PF,23,TOT,32,1,438,5.7,8.5,1.4,2.9,0.1,0.2,5.6,8.3,2.3,5.5,7.8,1.4,0.7,0.2,1.7,2.9,12.8
Tyler Cook,PF,23,BRK,4,0,17,2.1,6.4,0.0,0.0,0.0,0.0,2.1,6.4,2.1,2.1,4.2,4.2,0.0,0.0,2.1,4.2,4.2
Tyler Cook,SF,23,DET,28,1,421,5.8,8.6,1.5,3.0,0.1,0.2,5.7,8.4,2.3,5.6,8.0,1.3,0.7,0.2,1.7,2.8,13.2
DeMarcus Cousins,C,30,TOT,41,11,713,6.6,15.4,3.0,4.1,2.4,6.8,4.2,8.6,2.7,10.6,13.3,3.8,1.7,1.2,3.2,5.4,18.5
DeMarcus Cousins,C,30,HOU,25,11,506,5.6,14.9,3.1,4.2,2.8,8.3,2.8,6.7,2.1,11.5,13.6,4.3,1.5,1.3,2.8,5.3,17.1
