id,full_name,Year_Drafted,Overall_Pick,Round,Drafted_by
203089,John Henson,2012.0,14.0,1.0,Milwaukee Bucks
1629608,Dewan Hernandez,2019.0,59.0,2.0,Toronto Raptors
1627823,Juancho Hernangomez,2016.0,15.0,1.0,Denver Nuggets
1626195,Willy Hernangomez,2015.0,35.0,2.0,Philadelphia 76ers
1629639,Tyler Herro,2019.0,13.0,1.0,Miami Heat
1628987,Kevin Hervey,2018.0,57.0,2.0,Oklahoma City Thunder
1626209,Mario Hezonja,2015.0,5.0,1.0,Orlando Magic
1627741,Buddy Hield,2016.0,6.0,1.0,New Orleans Pelicans
201588,George Hill,2008.0,26.0,1.0,San Antonio Spurs
203524,Solomon Hill,2013.0,23.0,1.0,Indiana Pacers
1628988,Aaron Holiday,2018.0,23.0,1.0,Indiana Pacers
201950,Jrue Holiday,2009.0,17.0,1.0,Philadelphia 76ers
1626178,Rondae Hollis-Jefferson,2015.0,23.0,1.0,Portland Trail Blazers
1626158,Richaun Holmes,2015.0,37.0,2.0,Philadelphia 76ers
203918,Rodney Hood,2014.0,23.0,1.0,Utah Jazz
201143,Al Horford,2007.0,3.0,1.0,Atlanta Hawks
1629659,Talen Horton-Tucker,2019.0,46.0,2.0,Orlando Magic
2730,Dwight Howard,2004.0,1.0,1.0,Orlando Magic
1628989,Kevin Huerter,2018.0,19.0,1.0,Atlanta Hawks
1629631,De'Andre Hunter,2019.0,4.0,1.0,Los Angeles Lakers
1628990,Chandler Hutchison,2018.0,22.0,1.0,Chicago Bulls
201586,Serge Ibaka,2008.0,24.0,1.0,Oklahoma City Thunder
2738,Andre Iguodala,2004.0,9.0,1.0,Philadelphia 76ers
101141,Ersan Ilyasova,2005.0,36.0,2.0,Milwaukee Bucks
1627742,Brandon Ingram,2016.0,2.0,1.0,Los Angeles Lakers
202681,Kyrie Irving,2011.0,1.0,1.0,Cleveland Cavaliers
1628371,Jonathan Isaac,2017.0,6.0,1.0,Orlando Magic
1628411,Wes Iwundu,2017.0,33.0,2.0,Orlando Magic
1628402,Frank Jackson,2017.0,31.0,2.0,Charlotte Hornets
1628367,Josh Jackson,2017.0,4.0,1.0,Phoenix Suns
1628382,Justin Jackson,2018.0,43.0,2.0,Denver Nuggets
1628382,Justin Jackson,2017.0,15.0,1.0,Portland Trail Blazers
202704,Reggie Jackson,2011.0,24.0,1.0,Oklahoma City Thunder
1628991,Jaren Jackson Jr.,2018.0,4.0,1.0,Memphis Grizzlies
1629713,Justin James,2019.0,40.0,2.0,Sacramento Kings
2544,LeBron James,2003.0,1.0,1.0,Cleveland Cavaliers
